canonicalName,scientificName,Abbrev,Vernacular.name,Language,Meaning.of.the.name,n,star
Boletus pseudoloosii,"Boletus pseudoloosii De Kesel, Codjia & Yourou",Bol pse,afrogbanse,Yom,the pig's skin,1,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,akpatha,Lokpa,th sex of the old woman,0,*
Cantharellus addaiensis,"Cantharellus addaiensis Henn., 1898",Can add,alfa bangsi,Yom,Given name,1,
Cantharellus addaiensis,"Cantharellus addaiensis Henn., 1898",Can add,alowa kep pese,Lokpa,Devil mushroom,0,*
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,awaasa kaikpaisi,Lokpa,Furrow mushroom,2,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,awaasa kaikpaisi,Lokpa,Furrow mushrooms,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,awaasa kaikpaisi,Lokpa,n/a,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,awassa,Lokpa,"mushroom of the ""sillon""",2,
Amanita cf. rubescens,"Amanita rubescens Pers., 1797",Ama rub,awassa,Lokpa,"mushroom of the ""sillon""",1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,awassa,Lokpa,"mushroom of the ""sillon""",3,
Chlorophyllum hortense,Chlorophyllum hortense (Murrill) Vellinga 2002,Chl hor,awassa,Lokpa,"mushroom of the ""sillon""",1,
Russula cf. ochracea,"Russula ochracea Fr., 1815",Rus och,awassa,Lokpa,hat,1,
Volvopluteus earlei,"Volvopluteus earlei (Murrill) Vizzini, Contu & Justo 2011",Vop ear,awassa kep pese,Lokpa,"Mushroom of the ""sillons""",0,*
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,aye,Gando,Are you ready? It is really hard and it never seems to get ready,1,
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,bagomayao,Bariba,Delicious,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,baha gomi / koron gomi,Bariba,Given name,1,
Mycoamaranthus sp.,"Mycoamaranthus M.A. Castellano, J.M. Trappe & N. Malajczuk, 1992",Myc sp,baka,Bariba,calabasse,1,
Russula sp.,Russula Pers.,Rus sp,baragouna,Yom,Mushroom of the Baobab,0,*
Russula oleifera,"Russula oleifera Buyck, 1990",Rus ole,barasoule,Lokpa,where the cattle passes,1,
Ganoderma enigmaticum,"Ganoderma enigmaticum M.P.A. Coetzee, Marinc. & M.J. Wingf. 2015",Gan eni,bata kem bossa,Yom,Mushroom of the tree,0,*
