original,canonicalName,Abbrev,scientificName
Afroboletus luteolus,Afroboletus luteolus,Afr lut,"Afroboletus luteolus (Heinem.) Pegler & T.W.K. Young, 1981"
Agaricus sp. 1,Agaricus sp. 1,Aga sp1,Agaricus L. 1753
Agaricus sp. 2,Agaricus sp. 2,Aga sp2,Agaricus L. 1753
Agaricus heterocystis,Agaricus heterocystis,Aga het,Agaricus heterocystis Heinem. & Gooss.-Font. 1956
Agaricus volvatulus,Agaricus volvatulus,Aga vol,"Agaricus volvatulus Heinem. & Gooss.-Font., 1956"
Amanita afrospinosa,Amanita afrospinosa,Ama afr,Amanita afrospinosa Pegler & Shah-Smith 1997
Amanita annulata,Amanita annulatovaginata,Ama ann,Amanita annulatovaginata Beeli 1927
Amanita cf. craseoderma,Amanita cf. craseoderma,Ama crd,"Amanita craseoderma Bas, 1978"
Amanita “leucogala”,Amanita “leucogala”,Ama leu,Amanita leucogala nom. prov.
Amanita congolensis,Amanita congolensis,Ama con,"Amanita congolensis (Beeli) Tulloss, B.E. Wolfe, K.W. Hughes, Kudzma & D. Arora 2015"
Amanita craseoderma,Amanita cf. craseoderma,Ama crd,"Amanita craseoderma Bas, 1978"
Amanita crassiconus,"Amanita ""crassiconus""",Ama crc,"Amanita crassiconus nom. prov. Bas, 1969"
Amanita loosii,Amanita loosii,Ama loo,"Amanita loosii Beeli, 1936"
Amanita masasiensis,Amanita masasiensis,Ama mas,"Amanita masasiensis Härk. & Saarim., 1994"
Amanita pulverulenta,Amanita pulverulenta,Ama pul,"Amanita pulverulenta Beeli, 1927"
Amanita rubescens,Amanita cf. rubescens,Ama rub,"Amanita rubescens Pers., 1797"
Amanita strobilaceovolvata,Amanita strobilaceovolvata,Ama stro,"Amanita strobilaceovolvata Beeli, 1935"
Amanita subviscosa,Amanita subviscosa,Ama sub,"Amanita subviscosa Beeli, 1931"
Amanita virido-odorata,"Amanita ""virido-odorata""",Ama vir,Amanita virido-odorata nom. prov.
Amanita xanthogala,Amanita xanthogala,Ama xan,"Amanita xanthogala Bas, 1969"
Auricularia sp.,Auricularia sp.,Aur sp,Auricularia Bull. 1780
Auricularia cornea,Auricularia cornea,Aur cor,"Auricularia cornea Ehrenb., 1820"
Boletus pseudoloosii,Boletus pseudoloosii,Bol pse,"Boletus pseudoloosii De Kesel, Codjia & Yourou"
Boletus sp.,Boletus sp.,Bol sp,Boletus L. : Fr.
Cantharellus addaiensis,Cantharellus addaiensis,Can add,"Cantharellus addaiensis Henn., 1898"
Cantharellus congolensis,Cantharellus congolensis,Can con,"Cantharellus congolensis Beeli, 1928"
Cantharellus conspicuus,Cantharellus conspicuus,Can csp,"Cantharellus conspicuus Eyssart., Buyck & Verbeken 2002"
Cantharellus floridulus,Cantharellus addaiensis,Can add,"Cantharellus addaiensis Henn., 1898"
Cantharellus platyphyllus,Cantharellus platyphyllus,Can pla,"Cantharellus platyphyllus Heinem., 1966"
Chlorophyllum aff. molybdites,Chlorophyllum palaeotropicum,Chl pal,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018
Chlorophyllum hortense,Chlorophyllum hortense,Chl hor,Chlorophyllum hortense (Murrill) Vellinga 2002
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum,Chl pal,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018
Cookeina sulcipes,Cookeina sulcipes,Coo sul,"Cookeina sulcipes (Berk.) Kuntze, 1891"
Cyathus striatus,Cyathus striatus,Cya str,Cyathus striatus (Huds.) Willd. 1787
Cystolepiota sp.,Cystolepiota sp.,Cys sp,Cystolepiota Singer
Cystolepiota,Cystolepiota sp.,Cys sp,Cystolepiota Singer
Ganoderma enigmaticum,Ganoderma enigmaticum,Gan eni,"Ganoderma enigmaticum M.P.A. Coetzee, Marinc. & M.J. Wingf. 2015"
Geastrum sp.,Geastrum sp.,Gea sp,Geastrum Pers.
Gerronema beninensis,Marasmiellus inoderma,Mar ino,"Marasmiellus inoderma (Berk.) Singer ex Furneaux, 2020"
Gymnopilus sp.,Gymnopilus sp.,Gym sp,Gymnopilus P. Karst.
Gyroporus sp.,Gyroporus sp.,Gyr sp,Gyroporus Quél.
Hebeloma termitaria,Hebeloma termitaria,Heb ter,"Hebeloma termitaria De Kesel, Codjia & Yourou"
Inocybe sp. 2,Inocybe sp. 2,Ino sp2,Inocybe “sp. 2”
"Inosperma ""roseopurpurea""","Inosperma ""roseopurpurea""",Isp ros,Inosperma roseopurpurea nom. prov.
Lactarius denigricans,Lactarius denigricans,Lac den,"Lactarius denigricans Verbeken & Karhula, 1996"
Lactarius luteopus,Lactarius luteopus,Lac lut,"Lactarius luteopus Verbeken, 1995"
Lactarius saponaceus,Lactarius saponaceus,Lac sap,"Lactarius saponaceus Verbeken, 1996"
Lactarius sp.,Lactarius sp.,Lac sp,Lactarius Pers. 1797
Lactarius tenellus,Lactarius tenellus,Lac ten,"Lactarius tenellus Verbeken & Walleyn, 2000"
Lactifluus edulis,Lactifluus edulis,Lfl edu,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011"
Lactifluus flammans,Lactifluus flammans,Lfl fla,"Lactifluus flammans (Verbeken) Verbeken, 2012"
